Date,Ticker,Name,Sector,Country,Open,High,Low,Close,Volume
2025-05-27,FDX,FedEx,운송/물류,US,213.29937436379848,216.6058912829418,213.01568610289922,214.9819793701172,1917000
2025-05-28,FDX,FedEx,운송/물류,US,214.99177239676501,214.99177239676501,211.79286444475082,212.42872619628906,1247400
2025-05-29,FDX,FedEx,운송/물류,US,213.13306385070078,216.19501614102262,212.67328140049167,215.47109985351562,1461700
2025-05-30,FDX,FedEx,운송/물류,US,214.69830205493747,214.69830205493747,211.2352600919022,213.35809326171875,2339100
2025-06-02,FDX,FedEx,운송/물류,US,212.8493913143265,213.67112450543618,210.14940443195178,213.15264892578125,1374400
2025-06-03,FDX,FedEx,운송/물류,US,211.92003442152424,215.66676433694238,210.53090985863565,215.0015411376953,2351900
2025-06-04,FDX,FedEx,운송/물류,US,216.26350006345876,216.58631206295107,214.01350371094455,214.13088989257812,1437000
2025-06-05,FDX,FedEx,운송/물류,US,213.90589849080587,214.09176989967705,211.41133759807195,212.01785278320312,1961300
2025-06-06,FDX,FedEx,운송/물류,US,214.6786954887357,216.1949982355223,214.35586858700455,214.83522033691406,1684200
2025-06-09,FDX,FedEx,운송/물류,US,216.8993748928938,218.91458407690922,215.75481477169183,217.349365234375,2146100
2025-06-10,FDX,FedEx,운송/물류,US,218.83630413606892,223.26781153046375,218.52326934882348,223.00369262695312,2034000
2025-06-11,FDX,FedEx,운송/물류,US,223.90369506028946,224.86238371748186,218.3765284227411,219.12979125976562,1927100
2025-06-12,FDX,FedEx,운송/물류,US,219.11022015718225,220.91022620116257,217.45696176774487,220.10804748535156,1860500
2025-06-13,FDX,FedEx,운송/물류,US,217.2711140276277,220.03957111156313,217.2711140276277,219.5015411376953,1888400
2025-06-16,FDX,FedEx,운송/물류,US,221.01783623599314,223.74718458136078,220.40154380884027,221.83958435058594,1902400
2025-06-17,FDX,FedEx,운송/물류,US,220.22542646910964,221.61455097659086,216.8602167092253,217.69174194335938,1778900
2025-06-18,FDX,FedEx,운송/물류,US,217.65263596159704,221.08631629672132,217.4569724126284,218.4450225830078,1518200
2025-06-20,FDX,FedEx,운송/물류,US,220.538466195987,222.06454615125656,219.31564380528624,221.1254119873047,2248200
2025-06-23,FDX,FedEx,운송/물류,US,220.3476191408555,225.7529196804239,220.28854711668157,225.69384765625,2045000
2025-06-24,FDX,FedEx,운송/물류,US,228.81494588898514,229.1004807050626,225.00465007751313,225.9695281982422,4670600
2025-06-25,FDX,FedEx,운송/물류,US,215.20813790460846,222.4841375131714,212.8254711679057,218.57537841796875,8103700
2025-06-26,FDX,FedEx,운송/물류,US,220.4657706699973,222.8287568809618,216.4093312894376,217.6597442626953,4787100
2025-06-27,FDX,FedEx,운송/물류,US,219.23505331974107,225.8907670141512,218.7624620870397,225.37879943847656,4052900
2025-06-30,FDX,FedEx,운송/물류,US,225.22125546452745,227.10179501741104,223.56717870120215,223.803466796875,2599800
2025-07-01,FDX,FedEx,운송/물류,US,222.90750142810154,233.63936481965425,222.71058967356194,230.71517944335938,2720600
2025-07-02,FDX,FedEx,운송/물류,US,231.9557486139548,235.78574027132387,230.8825667281702,235.45098876953125,2495800
2025-07-03,FDX,FedEx,운송/물류,US,239.9898581520223,241.9688460354352,236.41585053389994,237.50872802734375,2410400
2025-07-07,FDX,FedEx,운송/물류,US,236.7900031596319,238.56223903619357,230.8825602533625,231.4634552001953,2609700
2025-07-08,FDX,FedEx,운송/물류,US,232.19204105671503,236.19924861054335,231.37484299990686,235.02761840820312,1960300
2025-07-09,FDX,FedEx,운송/물류,US,235.1949918470989,235.51990300072396,232.51694993546548,232.86154174804688,1938400
2025-07-10,FDX,FedEx,운송/물류,US,233.22584970550383,236.65216236928623,232.96985089906332,235.04730224609375,1940400
2025-07-11,FDX,FedEx,운송/물류,US,233.4719887202808,233.8559718992375,230.95148220985703,232.41848754882812,1667400
2025-07-14,FDX,FedEx,운송/물류,US,231.5914518791955,231.96559473301323,228.06667585045037,230.37057495117188,1433000
2025-07-15,FDX,FedEx,운송/물류,US,230.38042386744507,231.14839021289546,227.10179138183594,227.10179138183594,1719900
2025-07-16,FDX,FedEx,운송/물류,US,228.02729372708686,229.12017122511574,223.22256886751435,225.22125244140625,1906500
2025-07-17,FDX,FedEx,운송/물류,US,225.46739321586887,226.6488787345901,222.9074954058033,224.84710693359375,1328900
2025-07-18,FDX,FedEx,운송/물류,US,225.86122901666346,226.1861401811049,221.2632710654548,223.12411499023438,1776800
2025-07-21,FDX,FedEx,운송/물류,US,223.872404359426,225.15233833163174,222.18877648413633,222.2478485107422,1149400
2025-07-22,FDX,FedEx,운송/물류,US,223.03550291013102,228.56880288836308,222.74012776386365,228.12574768066406,1833600
2025-07-23,FDX,FedEx,운송/물류,US,229.60260865354746,236.0220340779893,227.90914050462476,234.2301025390625,2255100
2025-07-24,FDX,FedEx,운송/물류,US,233.83627520892205,235.69711907175375,232.6744853475389,232.86154174804688,2079800
2025-07-25,FDX,FedEx,운송/물류,US,234.52546497491952,239.8815485953266,233.87564269228116,239.44833374023438,1812800
2025-07-28,FDX,FedEx,운송/물류,US,236.66200844432268,240.6298398064342,235.75620231689172,238.67054748535156,1624500
2025-07-29,FDX,FedEx,운송/물류,US,236.57339514352591,237.92225646302674,230.63641623901088,230.92193603515625,2068900
2025-07-30,FDX,FedEx,운송/물류,US,229.8389113560242,230.39027028287106,218.85106409076263,220.4066925048828,3617300
2025-07-31,FDX,FedEx,운송/물류,US,219.22520611723718,221.59803258305806,217.5711143195308,220.0424041748047,2296200
2025-08-01,FDX,FedEx,운송/물류,US,218.4080219900946,218.41786232030594,212.80579430182715,213.75099182128906,2213900
2025-08-04,FDX,FedEx,운송/물류,US,214.6370912254423,215.1293781319227,212.76640699017855,214.1349639892578,1819900
2025-08-05,FDX,FedEx,운송/물류,US,214.2629479729363,219.70763994667172,213.35714186949542,218.97906494140625,1972800
2025-08-06,FDX,FedEx,운송/물류,US,219.97346876821263,224.3351383592277,218.2307689976515,222.95672607421875,2130700
2025-08-07,FDX,FedEx,운송/물류,US,225.22125439048452,226.451971627591,220.65283260728145,221.19435119628906,1454600
2025-08-08,FDX,FedEx,운송/물류,US,222.53337509816353,225.14248966601974,218.98890339899663,224.5320587158203,1324800
2025-08-11,FDX,FedEx,운송/물류,US,225.01449424469297,227.83037597123197,218.7821551837971,221.14512634277344,1522400
2025-08-12,FDX,FedEx,운송/물류,US,223.5080784692225,229.96689479901434,222.5628960954794,226.865478515625,1921000
2025-08-13,FDX,FedEx,운송/물류,US,226.45197274628015,227.17070740974788,216.6062348007897,226.9442596435547,3386600
2025-08-14,FDX,FedEx,운송/물류,US,224.89633320615,229.75028958496947,223.54747198193303,227.50546264648438,1616800
2025-08-15,FDX,FedEx,운송/물류,US,227.8697528024195,228.52941541702864,223.59670630118248,223.7542266845703,1798700
2025-08-18,FDX,FedEx,운송/물류,US,221.8047756808882,224.93572805310401,220.2983790283987,224.20713806152344,1318000
2025-08-19,FDX,FedEx,운송/물류,US,225.8218590406375,230.981031427717,225.18189204692212,229.53370666503906,1409800
2025-08-20,FDX,FedEx,운송/물류,US,228.53926297347218,229.82905223263066,223.62624938395723,223.70501708984375,1285100
2025-08-21,FDX,FedEx,운송/물류,US,222.81888884012986,223.7936222867834,221.22388413051823,221.80477905273438,1431800
2025-08-22,FDX,FedEx,운송/물류,US,223.28164575885467,234.41717306287006,223.28164575885467,233.14707946777344,1750400
2025-08-25,FDX,FedEx,운송/물류,US,232.28065444300023,233.34399597429922,228.01744798800306,229.40570068359375,1470300
2025-08-26,FDX,FedEx,운송/물류,US,228.9134162783742,229.238327446223,226.4126053516955,227.53501892089844,1743800
2025-08-27,FDX,FedEx,운송/물류,US,227.26916728815272,229.2678508583432,226.6587363524503,228.6278839111328,1083900
2025-08-28,FDX,FedEx,운송/물류,US,229.39586075798456,229.39586075798456,224.51236797860727,227.702392578125,1400500
2025-08-29,FDX,FedEx,운송/물류,US,227.9681984854658,229.56321816952854,226.4224255167753,227.50546264648438,1485500
2025-09-02,FDX,FedEx,운송/물류,US,222.50383186743045,223.6951577169706,219.40241547542533,220.72174072265625,2077300
2025-09-03,FDX,FedEx,운송/물류,US,221.529094354898,222.61213149221658,220.0620740549671,221.8638458251953,1723900
2025-09-04,FDX,FedEx,운송/물류,US,222.20845790650637,222.20845790650637,217.8960199601892,221.80477905273438,1773800
2025-09-05,FDX,FedEx,운송/물류,US,220.9974330090209,226.1172135616483,220.89896962355752,224.20713806152344,1665400
2025-09-08,FDX,FedEx,운송/물류,US,224.92057817867956,224.92057817867956,220.0355162454024,222.94871520996094,2092700
2025-09-09,FDX,FedEx,운송/물류,US,222.41364661499068,224.5440394173336,221.95783369670542,223.69187927246094,1192900
2025-09-10,FDX,FedEx,운송/물류,US,223.59278723539515,225.92136879496877,222.48300289364656,223.63243103027344,1446200
2025-09-11,FDX,FedEx,운송/물류,US,220.29316143943794,228.21030857246143,220.29316143943794,226.72398376464844,1931400
2025-09-12,FDX,FedEx,운송/물류,US,225.1880987386487,228.84445997338528,224.920571174895,227.4572296142578,1688800
2025-09-15,FDX,FedEx,운송/물류,US,229.60745549540826,230.46951903803958,223.60270574395358,223.63243103027344,2151500
2025-09-16,FDX,FedEx,운송/물류,US,226.704158781701,227.90313409634427,223.781056390053,225.6240997314453,1833700
2025-09-17,FDX,FedEx,운송/물류,US,223.46397920958208,230.7469615180263,222.32445447964116,223.7216033935547,3123300
2025-09-18,FDX,FedEx,운송/물류,US,225.80246698033173,227.01134568601478,222.73072303251197,224.43504333496094,6374100
2025-09-19,FDX,FedEx,운송/물류,US,226.21863257332615,233.17463671676452,223.1865324676338,229.63717651367188,8388400
2025-09-22,FDX,FedEx,운송/물류,US,227.91303593627035,228.8940157324935,223.39461103186824,228.02203369140625,3850600
2025-09-23,FDX,FedEx,운송/물류,US,228.5571187473099,233.67998299192325,228.29947944299224,231.56939697265625,2879700
